,Name,IsFree,Metacritic,PCMinReqsText,PriceFinal,ReleaseDate,DLCCount
4030,SolidFace Parametric CAD Modeler 2D/3D,False,0,Minimum:OS: Support Windows (r) XP/Vista/7/8Processor: 32/64bit Processor (x86/x64);Memory: 2 GB RAMGraphics: 256MB Off-board graphics card or higherNetwork: Broadband Internet connectionStorage: 500 MB available space,449.99,Dec 22 2014,0
3222,VEGAS Pro 13 Edit - Steam Powered,False,0,Minimum:OS: 64-bit Microsoft(r) Windows 7 Windows 8 Windows 8.1 or Windows 10Processor: 2 GHz processorMemory: 4 GB RAMStorage: 500 MB available spaceSound Card: Windows-compatible sound card,399.99,Nov 2 2015,0
5017,Atavism MMO Creator,False,0,Minimum:OS: Windows XP SP2+Memory: 2 GB RAMDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 2 GB available space,399.0,Jan 20 2015,0
12271,VEGAS Pro 14 Edit Steam Edition,False,0,Minimum:OS: Windows 7 | 8 | 8.1 | 10 (64-bit)Processor: 2 GHzMemory: 4 GB RAMGraphics: Dedicated at least 512 MB VRAMStorage: 1330 MB available spaceSound Card: Multi-channel sound card recommended for surround sound editing,399.0,Sep 30 2016,0
12838,Marvelous Designer 6 For Steam,False,0,Minimum:OS: Microsoft Windows Vista (64bit)Processor: i5 2.4 GHz (Sandy Bridge ivy bridge and Haswell Devils Canyon Microarchitecture)Memory: 8 GB RAMGraphics: Nvidia Geforce GTX 745Storage: 1 GB available space,320.0,Nov 23 2016,0
6757,ChessBase 13 Pro,False,0,Minimum:OS: Windows Vista(r) Windows(r) 7 Windows(r) 8 Windows(r) 10Processor: Pentium processor (or equivalent AMD(r) processor) 2.0 GHz or fasterMemory: 512 MB RAMGraphics: DirectX(r) compatible video cardDirectX: Version 9.0cStorage: 2 GB available spaceSound Card: DirectX 9.0 compatible sound card,234.99,Aug 4 2016,0
9940,CyberLink PowerDirector 14 Ultimate Suite,False,0,Minimum:OS: Microsoft Windows 10 8/8.1 7 Vista (SP2)Processor: Pentium 4 3.0 Ghz or AMD Athlon 64 X2Memory: 2 GB RAMGraphics: 128 MB VGA VRAM or higherStorage: 10 GB available space,199.99,Jun 1 2016,0
5711,Rapture Pro,False,0,Minimum:OS: Windows 7 SP1 (32/64-bit) Windows 8 (32/64-bit) Windows 10 (32/64-bit)Processor: Intel Core 2 Duo or newerMemory: 2 GB RAMStorage: 13 GB available spaceSound Card: VST 2.4/3 & AAX require compatible host software. ASIO compatible sound device required for Performance Microhost.Additional Notes: MIDI controller required for the Performance Microhost to be used as a standalone instrument,199.0,Apr 28 2015,0
8884,3DF Zephyr Lite 2 Steam Edition,False,0,Minimum:OS: Windows 10/8.1/8/7/Vista 64 bitProcessor: Dual Core 2.0GHz Intel or AMD CPUMemory: 8 GB RAMGraphics: DirectX 9.0 compatible video card with 256MB vramDirectX: Version 9.0Network: Broadband Internet connectionStorage: 8 GB available spaceAdditional Notes: The full list of requirements and feature limitations can be found at http://zephyr.3dflow.net/,199.0,Feb 2 2016,0
13043,Marmoset Toolbag 3,False,0,Minimum:OS: Windows 7Graphics: Direct3D 11 GPUDirectX: Version 11Storage: 535 MB available space,189.0,Nov 25 2016,0
9419,Substance Painter 2,False,0,Minimum:OS: Windows 7 / 8 / 10 - 64 bit mandatoryMemory: 8 GB RAMGraphics: VRAM 2 GBDirectX: Version 10Storage: 1 GB available spaceAdditional Notes: Integrated GPU are not recommended,149.99,Mar 22 2016,0
4815,Substance Designer 5 Indie,False,0,Minimum:OS: Windows VistaProcessor: X86 with SSE2Memory: 2 GB RAMGraphics: DX9 - DX10 - Shader Model 3.0Storage: 300 MB available space,149.99,Mar 10 2015,0
3390,Tremor,False,0,Minimum:OS: Windows 7 SP1 with Platform UpdateProcessor: Intel Core 2 Duo 2.53 GHzMemory: 2 GB RAMStorage: 200 MB available spaceSound Card: ASIO-compatible sound cardAdditional Notes: Tremor can be run as a standalone app or with a compatible VST 2 (32- or 64-bit) RTAS (32-bit) or AAX (64-bit) host.,149.99,Mar 17 2015,0
6756,ChessBase 13 Academy,False,0,Minimum:OS: Windows Vista(r) Windows(r) 7 Windows(r) 8 Windows(r) 10Processor: Pentium processor (or equivalent AMD(r) processor) 2.0 GHz or fasterMemory: 512 MB RAMGraphics: DirectX(r) compatible video cardDirectX: Version 9.0cStorage: 2 GB available spaceSound Card: DirectX 9.0 compatible sound card,149.99,Aug 4 2016,0
6137,Marmoset Toolbag 2,False,0,Minimum:OS: Windows Vista (SP2) 64-bitGraphics: Direct3D 10 GPUDirectX: Version 10Storage: 360 MB available space,149.0,Aug 17 2015,0
3245,Ohmicide,False,0,Minimum:OS: Windows 64 bitsProcessor: AnyGraphics: 9-year oldDirectX: Version 9.0cStorage: 50 MB available spaceAdditional Notes: Requires a 64-bit VST host software.,124.99,Jul 23 2014,0
1454,Silo 2,False,0,Minimum:OS: Windows 7 or betterProcessor: 1 GHzMemory: 512 MBHard disk space: 20 MB Video Card: Graphics card supporting 1024 x768 x 16-bit color and OpenGL,119.99,Dec 19 2012,0
10828,Music Maker 2017 Premium Steam Edition,False,0,Minimum:OS: Microsoft Windows 7 | 8 | 10Processor: 2 GHzMemory: 2 GB RAMGraphics: Onboard min. resolution 1280 x 768Storage: 9 GB available spaceSound Card: OnboardAdditional Notes: Supported import formats: Audio CD WAV MP3 OGG Vorbis WMA Quick Time MIDI FLAC Image: JPG BMP Video: AVI MXV WMV / Supported export formats: Audio CD WAV MP3 OGG Vorbis WMA Quick Time MIDI FLAC Image: JPG BMP Video: AVI MXV WMV Note: Only non copy-protected audio CDs can be imported.,119.99,Aug 8 2016,0
