,userid
0,12610800
1,88199811
2,94521606
3,47457723
4,64787956
5,48028873
6,84455820
7,150789931
8,101687527
9,24721232
10,138941587
11,20366600
12,44472980
13,71527252
14,80630217
15,298306205
16,62990992
17,42657809
18,26302344
19,5990132
20,114727578
21,40212239
22,112626210
23,144071257
24,156379077
25,129925351
26,39361297
27,87694960
28,119239620
29,108454875
30,106066141
31,107818793
32,227490126
33,179936723
34,11978743
35,259038184
36,46637811
37,115008799
38,22371742
39,36546868
40,99723205
41,141408990
42,224998865
43,173940259
44,110906645
45,127461743
46,234190577
47,58907890
48,33282871
49,189813843
50,287848624
51,2259650
52,77124916
53,126269125
54,59790700
55,233104650
56,135066372
57,9128105
58,111754806
59,186673066
60,212466515
61,39622853
62,24469287
63,49669626
64,49893565
65,184314651
66,79319075
67,75457821
68,77818807
69,125912054
70,208616727
71,162319568
72,88883891
73,60439399
74,66596291
75,133378280
76,74764496
77,34281672
78,212078557
79,194854693
80,125682446
81,175941533
82,103260848
83,177213985
84,92276000
85,112845094
86,138958592
87,206896748
89,294006204
90,111362598
91,161896440
92,99096740
93,158620881
94,152497084
95,48984158
96,43684632
97,24011187
98,199693353
99,45974860
101,53875128
102,87445402
103,43955374
104,174287424
105,51085779
106,117949868
107,167785065
108,168053527
109,30699429
110,142799594
111,191126693
112,80189887
113,75463760
114,64973908
115,202057920
116,148761419
117,181010210
118,209807861
119,46055854
120,70408902
121,205965436
122,65398650
123,108007732
124,154458931
125,145908178
126,45774794
127,39037163
128,58057627
129,278613910
130,255622304
131,11373749
132,263856756
133,171847029
134,226033921
135,43360645
136,157058673
137,67492611
138,8542204
139,77830706
140,65420540
141,13565651
142,87734805
143,74347105
144,223324734
145,189858084
146,272181160
147,174204642
148,228908339
149,191747590
150,124556386
151,89732768
152,131940023
153,57433226
155,160427210
156,218680215
157,102825821
158,58029555
159,44482198
160,131973876
161,43913966
162,142001340
163,42061089
164,45292137
165,57770056
166,297379779
167,88775181
168,30913209
169,7907686
170,131610144
171,109175936
172,59382844
173,159734412
174,276958784
175,17530772
176,11940338
177,77194239
178,35433662
179,203092936
180,155042139
181,17567828
182,82352462
183,195780309
184,287778652
185,94936385
186,193196975
187,159077305
188,230944154
189,36557643
190,46028967
191,101212067
192,19696244
193,139873696
194,192170147
195,197190654
196,115167911
197,191979928
198,55761025
199,170947678
200,82263745
201,123128145
202,133024750
203,112865325
204,233532285
205,91859894
206,34919318
207,241465305
208,103371488
209,22301321
210,107743243
211,199841615
212,59205262
213,113752996
214,251594700
215,27403206
216,113227222
217,201656921
218,218463646
219,202738708
220,79017735
221,190305835
222,51557405
223,216688763
224,80550861
225,161240367
226,234114335
227,152741550
228,178038549
229,260788360
230,185258131
231,190191843
232,10599862
233,14962163
234,163930591
235,157193017
236,168726386
237,201768926
238,14465359
239,67579257
240,252918139
241,252083412
242,78309377
243,161816812
244,192503967
245,158974308
246,44314169
247,293587092
248,111422562
249,236188947
250,26762388
251,142433607
252,29873979
254,81591317
255,198081354
256,136397050
257,87040683
258,38317154
259,138482130
260,221694858
261,51382080
262,117022366
263,298178235
264,298822624
265,37294596
266,172518437
267,259454041
268,189929581
269,5387470
270,183048608
271,174002551
272,83625754
273,193087158
274,31187179
275,2753525
276,61189155
277,27545486
278,12760368
279,231493001
280,137610845
281,41719717
282,187463594
283,62658713
284,262195804
285,12144171
286,84045371
287,202427012
288,236496373
289,132300630
290,10253354
291,95037089
292,144845684
293,92595907
294,11149819
295,32126281
296,207718097
297,136219907
298,268845100
299,122094388
300,151603712
301,294785149
302,209869297
303,273268792
305,134516625
306,252044076
307,18500119
309,95084569
310,155963474
314,200821590
316,61990738
317,156407373
321,122956129
322,251635136
323,167815968
324,129117376
326,294585971
328,123101539
329,158173228
330,124725852
332,13190476
333,88525821
334,301613541
335,127335438
338,58761868
340,156565178
341,213720494
343,83135348
344,185079540
345,118852041
346,16084897
347,20704366
348,48798067
352,199013605
353,238169854
354,113423671
356,58530556
358,135147743
359,58289184
360,92436417
361,105503045
366,59925638
371,44545959
372,109598076
376,188471612
378,40084096
379,65145468
382,166880158
383,31669242
384,127628725
385,45353031
386,201187797
387,156748261
391,75155353
393,64514291
396,55755821
397,8776918
398,48626533
400,154230723
403,47384303
404,36404933
405,108264287
408,6144819
409,30246419
410,167167647
411,62481936
412,76420334
414,68316900
418,115037563
421,101690993
422,53898495
426,39082468
430,99077905
432,12259303
435,124059151
436,233424343
438,91800733
439,65958466
440,65229865
441,25096601
442,211925330
443,115396529
445,57103808
448,251164636
453,94908699
457,28472068
459,69954842
461,32577778
462,251197403
463,4834220
464,71390526
465,59115473
466,98624963
467,58435428
468,66255019
476,49462664
477,96588736
478,86469479
479,15196746
480,43446880
481,167302978
483,99264709
484,88035166
485,11161178
486,73305545
487,23225650
488,80363319
489,108750879
490,57603447
493,149143479
494,86055705
495,94269421
496,183337134
499,298950
500,62878249
501,50801801
503,212570211
504,54293428
505,100351493
506,73518199
507,100311267
508,301299641
511,171067153
512,170460109
513,60859324
514,108223505
517,27262175
518,66464409
519,305093062
523,186287462
524,267250336
525,116564064
526,77214425
529,45617627
530,62705916
531,113186568
534,130312302
535,212428693
536,94110492
537,285883244
540,37422528
541,69434488
542,60706503
548,23717586
550,206014489
552,15305418
553,201945992
554,188684344
556,99244433
558,159800136
563,19586574
565,72842694
568,199603191
569,80779496
571,153076975
572,132593770
574,185680404
577,76032287
581,165356998
582,86182317
583,143235127
584,43284145
586,154940949
591,110546460
593,15415372
594,84925352
595,299978094
596,42363887
597,105274697
598,154485753
599,307181486
600,42695514
601,202620479
602,10302000
603,40080833
604,50131557
605,273021336
607,202465473
608,70327507
609,42380987
610,262752300
613,55367062
614,88493668
616,209917929
617,167194020
620,113260911
621,308220794
622,81054122
623,115192877
624,197406178
628,33013552
630,8585433
631,106980036
633,96400571
634,120237789
635,91729217
637,103445207
638,113196318
640,115996656
641,204401529
644,63441290
647,42681063
648,42005897
649,42099265
650,195147702
652,213231597
654,178964139
656,11970504
657,286926470
659,50095094
660,51822361
661,43160799
663,77665527
666,127850470
670,92393218
671,92484390
675,26729643
677,262430736
679,17995238
680,74521316
684,11731710
685,139573198
686,79073449
687,129081996
688,223858723
689,248549548
690,70967454
692,181608676
696,30912860
697,194196780
698,108595389
699,124437057
700,166149095
703,133268317
704,206346171
708,14126086
715,156271246
717,131444737
719,219466457
721,80351692
724,93189271
726,190708114
728,122940861
730,230572014
732,175026514
734,131348564
736,133228469
737,65173746
738,79211079
741,61779218
743,155071993
745,53509003
746,298242221
747,95699780
749,33659046
752,203800963
754,133422169
756,118554131
757,139695479
764,156965566
767,211454678
768,245863248
770,165101762
772,66950079
773,191637518
775,53097340
778,100519466
779,65716118
780,136021775
781,44866715
782,52907921
783,1950243
784,202586207
